"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","SNPPresence","Env1Presence","SNPAbsence","Phenotype"
1,"3316",75.6091,0.014,0.972,0.014,"Env1","0",1,1,77.9007924334734
2,"3811",78.7223,0.003,0.993,0.004,"Env1","1",1,0,73.5205469324819
3,"4226",66.6023,0.071,0.917,0.012,"Env1","0",1,1,68.0341174251986
4,"4722",78.9496,0.035,0.854,0.111,"Env1","0",1,1,67.0048350544805
5,"A188",61.1269,0.013,0.982,0.006,"Env1","0",1,1,75.259138598148
6,"A214N",81.1063,0.762,0.017,0.221,"Env1","0",1,1,97.9414897631539
7,"A239",68.611,0.035,0.963,0.002,"Env1","0",1,1,64.499872110501
8,"A272",70.4043,0.019,0.122,0.859,"Env1","0",1,1,77.4530519127447
9,"A4415",77.7701,0.005,0.531,0.464,"Env1","0",1,1,92.1385795201401
10,"A554",62.5807,0.019,0.979,0.002,"Env1","0",1,1,59.1686793771447
11,"A556",64.1548,0.004,0.994,0.002,"Env1","0",1,1,62.7894178771627
12,"A6",82.0828,0.003,0.03,0.967,"Env1","0",1,1,72.2863066719472
13,"A619",69.4189,0.009,0.99,0.001,"Env1","0",1,1,46.7864378142139
14,"A632",69.4034,0.993,0.004,0.004,"Env1","0",1,1,68.1032499921005
15,"A634",66.9987,0.897,0.1,0.004,"Env1","0",1,1,48.4216042938055
16,"A635",74.847,0.825,0.171,0.004,"Env1","0",1,1,103.628152315132
17,"A641",64.1534,0.517,0.481,0.002,"Env1","0",1,1,53.2603146001801
18,"A654",61.7508,0.083,0.915,0.002,"Env1","0",1,1,38.2074277538082
19,"A659",70.5385,0.006,0.991,0.002,"Env1","0",1,1,58.3140972861229
20,"A661",65.2638,0.111,0.852,0.037,"Env1","0",1,1,66.2071065545676
21,"A679",68.2021,0.862,0.127,0.011,"Env1","0",1,1,78.2773104410871
22,"A680",72.822,0.993,0.004,0.002,"Env1","0",1,1,78.8265631940389
23,"A682",68.8663,0.002,0.997,0.001,"Env1","0",1,1,71.9075777303189
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1","0",1,1,64.8074601934883
25,"B10",80.3665,0.429,0.57,0.002,"Env1","0",1,1,63.140199578586
26,"B103",68.0784,0.163,0.829,0.009,"Env1","0",1,1,69.5036510301214
27,"B104",73.0927,0.694,0.305,0.002,"Env1","0",1,1,83.2706607673209
28,"B105",74.4904,0.397,0.566,0.037,"Env1","0",1,1,65.1298671793955
29,"B109",69.1111,0.995,0.003,0.002,"Env1","0",1,1,58.7636240962122
30,"B115",75.0215,0.061,0.847,0.092,"Env1","0",1,1,86.5575128773645
31,"B14A",74.1976,0.998,0.001,0.001,"Env1","0",1,1,58.8758538632378
32,"B164",71.7268,0.233,0.756,0.011,"Env1","0",1,1,70.318874376222
33,"B2",70.1453,0.007,0.988,0.005,"Env1","0",1,1,69.8480380815933
34,"B37",74.1355,0.997,0.002,0.001,"Env1","0",1,1,82.610185921506
35,"B46",73.7353,0.214,0.784,0.002,"Env1","0",1,1,91.1002322923869
36,"B52",75.3501,0.012,0.985,0.003,"Env1","0",1,1,46.4163426918142
37,"B57",71.5856,0.002,0.996,0.002,"Env1","0",1,1,86.0664606820782
38,"B64",63.7854,0.988,0.002,0.01,"Env1","0",1,1,55.8677080006438
39,"B68",76.5085,0.998,0.001,0.001,"Env1","0",1,1,106.116853205756
40,"B73",72.0762,0.999,0.001,0.001,"Env1","0",1,1,62.8195097550503
41,"B73HTRHM",72.3007,0.999,0.001,0.001,"Env1","0",1,1,66.501791411276
42,"B75",71.7824,0.005,0.993,0.002,"Env1","0",1,1,81.5252099912048
43,"B76",72.3682,0.912,0.087,0.001,"Env1","0",1,1,79.0885399952685
44,"B77",72.9512,0.083,0.915,0.002,"Env1","0",1,1,78.4050655820713
45,"B79",74.597,0.305,0.693,0.002,"Env1","0",1,1,71.6709075785049
46,"B84",75.2271,0.996,0.003,0.001,"Env1","0",1,1,75.0688248083699
47,"B97",74.188,0.016,0.981,0.003,"Env1","0",1,1,67.39074198512
48,"C103",73.7944,0.002,0.997,0.001,"Env1","0",1,1,83.1443456519393
49,"C123",70.3352,0.047,0.952,0.002,"Env1","0",1,1,79.3584805621219
